region,component,metric_suffix,metric_title,mean_col,slope,intercept,rvalue,r2,pvalue,stderr,n
C3,P50,peak_lat_ms_roll_mean,Peak latency,P50_peak_lat_ms_roll_mean,-0.02292781497671313,31.617189601829434,-0.3027820831355589,0.09167698986790848,0.0186982385983928,0.009476296856628786,60
C3,N100,peak_lat_ms_roll_mean,Peak latency,N100_peak_lat_ms_roll_mean,-0.07136766144530886,100.22165105007397,-0.421300249550043,0.17749390027092854,0.0008016196820279116,0.020172759769390237,60
C3,P200,peak_lat_ms_roll_mean,Peak latency,P200_peak_lat_ms_roll_mean,-0.031176634093134255,183.61264019202312,-0.18942306350097513,0.03588109698609446,0.14718143553564778,0.021220112009385953,60
C3,N200,peak_lat_ms_roll_mean,Peak latency,N200_peak_lat_ms_roll_mean,-0.04291026918026197,316.44276928638686,-0.35909153026806256,0.1289467271102589,0.0048378105158557935,0.01464415910890667,60
C3,P300,peak_lat_ms_roll_mean,Peak latency,P300_peak_lat_ms_roll_mean,-0.05494431943727743,229.1358091833132,-0.20290804943334353,0.041171676524844186,0.11997470553599458,0.034816086515037516,60
C4,P50,mean_amp_roll_mean,Mean amplitude,P50_mean_amp_roll_mean,-0.005501753251259631,0.43855152258000873,-0.13350577584341225,0.01782379218355144,0.3091826350271018,0.005362678508199399,60
C4,N100,mean_amp_roll_mean,Mean amplitude,N100_mean_amp_roll_mean,0.020686411809193873,-4.525669037765359,0.5158887308469831,0.26614118261491093,2.457216672413905e-05,0.004510465719280347,60
C4,P200,mean_amp_roll_mean,Mean amplitude,P200_mean_amp_roll_mean,0.01274439477573259,2.524426873524338,0.40405169638512745,0.16325777335169922,0.0013665007504126685,0.0037884724019010634,60
C4,N200,mean_amp_roll_mean,Mean amplitude,N200_mean_amp_roll_mean,-0.017034768856395044,-0.1845691720261322,-0.44490817853367143,0.19794328732614924,0.00036847783860198335,0.004502507013253389,60
C4,P300,mean_amp_roll_mean,Mean amplitude,P300_mean_amp_roll_mean,-0.0031188202166377633,0.38205287935862736,-0.07564892038313188,0.005722759155133426,0.5656486850125584,0.005397931372225643,60
C4,P50,peak_amp_roll_mean,Peak amplitude,P50_peak_amp_roll_mean,0.0007147650212233943,3.1557581985463914,0.016288081921312772,0.00026530161267539594,0.9016945176103031,0.005761316475972178,60
C4,N100,peak_amp_roll_mean,Peak amplitude,N100_peak_amp_roll_mean,0.02020054068409902,-8.84574315305591,0.43620401362656036,0.19027394150392046,0.0004939883467311819,0.005471777102371003,60
C4,P200,peak_amp_roll_mean,Peak amplitude,P200_peak_amp_roll_mean,0.02288332964209051,6.422328470660762,0.5465159057319875,0.29867963521805463,6.26180350164195e-06,0.004604268469592083,60
C4,N200,peak_amp_roll_mean,Peak amplitude,N200_peak_amp_roll_mean,-0.02755943583181591,-3.965504104620346,-0.5659156622426198,0.32026053677150296,2.4507755896625853e-06,0.005272005499586997,60
C4,P300,peak_amp_roll_mean,Peak amplitude,P300_peak_amp_roll_mean,0.008946594985421502,6.72284805122843,0.1983778154400053,0.0393537576587488,0.12864954604963086,0.005804067052970729,60
C4,P50,peak_lat_ms_roll_mean,Peak latency,P50_peak_lat_ms_roll_mean,0.005277616178105032,29.923745628194776,0.051560776743390366,0.0026585136983817447,0.6956147072927936,0.013422280074563468,60
C4,N100,peak_lat_ms_roll_mean,Peak latency,N100_peak_lat_ms_roll_mean,-0.10331439205996376,100.45701653719397,-0.598119298311502,0.35774669501264356,4.496576276609202e-07,0.018176580595218556,60
C4,P200,peak_lat_ms_roll_mean,Peak latency,P200_peak_lat_ms_roll_mean,-0.071653863424364,184.78015389595106,-0.4083531563782229,0.16675230032405736,0.0011994568902437622,0.021031815324964873,60
C4,N200,peak_lat_ms_roll_mean,Peak latency,N200_peak_lat_ms_roll_mean,-0.004043652792111336,316.7198560877388,-0.03051602457073063,0.0009312277556014354,0.8169593489761062,0.017391201917716426,60
C4,P300,peak_lat_ms_roll_mean,Peak latency,P300_peak_lat_ms_roll_mean,-0.07901177389718048,236.98133417826872,-0.234223531640076,0.05486066277394969,0.07166036503110726,0.04306210048470868,60
CP3,P50,mean_amp_roll_mean,Mean amplitude,P50_mean_amp_roll_mean,-0.016920467668311637,0.6298544403207825,-0.48903941872004464,0.23915955306203915,7.343296789875158e-05,0.003962792159681928,60
CP3,N100,mean_amp_roll_mean,Mean amplitude,N100_mean_amp_roll_mean,0.014255529275057828,-1.7295652605173322,0.46208396698803816,0.21352159254740236,0.00020184288905032913,0.003592459256913755,60
CP3,P200,mean_amp_roll_mean,Mean amplitude,P200_mean_amp_roll_mean,0.015227236990301905,-0.2076330452814999,0.49612338893522057,0.24613841704856815,5.549902148638548e-05,0.0034991552739249182,60
CP3,N200,mean_amp_roll_mean,Mean amplitude,N200_mean_amp_roll_mean,-0.008785249244819394,0.24687536575507732,-0.3214828727422617,0.10335123746661724,0.012255897206878278,0.0033977656911459908,60
CP3,P300,mean_amp_roll_mean,Mean amplitude,P300_mean_amp_roll_mean,-0.0006037473437522134,-0.0030373447600287005,-0.027431516534607743,0.000752488099388458,0.8351876555431459,0.0028888697150218096,60
CP3,P50,peak_amp_roll_mean,Peak amplitude,P50_peak_amp_roll_mean,-0.016516107119930925,3.195528140599477,-0.4618063617180254,0.21326511572323972,0.00020386788737887607,0.004165316306835184,60
CP3,N100,peak_amp_roll_mean,Peak amplitude,N100_peak_amp_roll_mean,0.011460915610868183,-5.382932238002967,0.2904245018243219,0.08434639125990555,0.024382025595355454,0.004958355606711261,60
CP3,P200,peak_amp_roll_mean,Peak amplitude,P200_peak_amp_roll_mean,0.02017575239441902,3.195690458723302,0.5127415025992649,0.26290384848775195,2.8071178696909344e-05,0.004435875441173957,60
CP3,N200,peak_amp_roll_mean,Peak amplitude,N200_peak_amp_roll_mean,-0.004741091126273405,-3.32195748883213,-0.1865886653743022,0.034815330046163315,0.15344256470143836,0.0032778136191775197,60
CP3,P300,peak_amp_roll_mean,Peak amplitude,P300_peak_amp_roll_mean,0.008442624348082923,4.802348327548681,0.28610684934893876,0.08185712924437634,0.02668433556707496,0.0037127041837610587,60
