region,component,metric_suffix,metric_title,mean_col,slope,intercept,rvalue,r2,pvalue,stderr,n
C,P50,mean_amp_roll_mean,Mean amplitude,P50_mean_amp_roll_mean,0.00039368508366562197,0.12057024416806127,0.012171042966187977,0.00014813428688479382,0.926462333762953,0.004246928979440739,60
C,N100,mean_amp_roll_mean,Mean amplitude,N100_mean_amp_roll_mean,0.002125625686813616,0.07053183725930023,0.09804577649873478,0.009612974289239852,0.45610143823214944,0.0028329986895043215,60
C,P200,mean_amp_roll_mean,Mean amplitude,P200_mean_amp_roll_mean,0.010264540442224657,-1.338330380523736,0.43068992744673124,0.1854938136040706,0.0005924150912635338,0.002824281569725526,60
C,N200,mean_amp_roll_mean,Mean amplitude,N200_mean_amp_roll_mean,-0.005366085973721101,-0.8564052652101706,-0.2382152916396716,0.05674652517097379,0.06682108234850495,0.0028726862794879854,60
C,P300,mean_amp_roll_mean,Mean amplitude,P300_mean_amp_roll_mean,-0.0028180910786478404,0.9001351343426045,-0.09908048798636813,0.00981694309961684,0.45133833095354103,0.0037162989001158415,60
C,P50,peak_amp_roll_mean,Peak amplitude,P50_peak_amp_roll_mean,0.003573072010820389,2.9742924293975213,0.0998306103906307,0.0099661507709659,0.44790248800252896,0.004676156820800504,60
C,N100,peak_amp_roll_mean,Peak amplitude,N100_peak_amp_roll_mean,-0.006143905702357887,-3.6987586288871444,-0.3282091452426498,0.10772124302091081,0.010462227021678974,0.0023218285299373646,60
C,P200,peak_amp_roll_mean,Peak amplitude,P200_peak_amp_roll_mean,0.015560537110716642,2.6832860883051595,0.5429904613257688,0.2948386410907712,7.37957906566197e-06,0.003159822152466883,60
C,N200,peak_amp_roll_mean,Peak amplitude,N200_peak_amp_roll_mean,-0.010592442524551224,-4.883205489048886,-0.3471546576399308,0.12051635632109757,0.006576517125782234,0.0037572752048075134,60
C,P300,peak_amp_roll_mean,Peak amplitude,P300_peak_amp_roll_mean,-0.004194917034394172,6.643678178620773,-0.11171757632218107,0.012480816859302354,0.39542424191741155,0.004899600206764959,60
C,P50,peak_lat_ms_roll_mean,Peak latency,P50_peak_lat_ms_roll_mean,0.006859458177315786,568.1520733146131,0.1382547455162055,0.019114374657750746,0.29213110516190355,0.006452157402966608,60
C,N100,peak_lat_ms_roll_mean,Peak latency,N100_peak_lat_ms_roll_mean,0.010492995808469678,558.8706051622331,0.09097666921016899,0.00827675434057651,0.48936836524228466,0.015081714543866316,60
