region,component,metric_suffix,metric_title,mean_col,slope,intercept,rvalue,r2,pvalue,stderr,n
C3,A_P50,mean_amp_roll_mean,Mean amplitude,A_P50_mean_amp_roll_mean,0.03116251482950045,-0.5137558916135773,0.557869459833014,0.3112183342143788,3.6424359704897632e-06,0.006087328006482751,60
C3,A_N100,mean_amp_roll_mean,Mean amplitude,A_N100_mean_amp_roll_mean,0.02174875470412543,-5.475943945979618,0.5772989187757431,0.3332740416196421,1.3739143882638732e-06,0.00403918120017828,60
C3,A_P200,mean_amp_roll_mean,Mean amplitude,A_P200_mean_amp_roll_mean,-0.003493072639855057,5.121640928390509,-0.06619819257942816,0.004382200700783058,0.615291807307373,0.006913433892177814,60
C3,A_N200,mean_amp_roll_mean,Mean amplitude,A_N200_mean_amp_roll_mean,-0.017732482810141642,-1.5660369717835079,-0.4230401725395053,0.17896298758225443,0.0007584285742148689,0.004987183038956138,60
C3,A_P300,mean_amp_roll_mean,Mean amplitude,A_P300_mean_amp_roll_mean,-0.005115450369895274,0.44463934498255936,-0.14107439207772263,0.01990198410009901,0.28230382293049716,0.004713640386891265,60
C3,T_P50,mean_amp_roll_mean,Mean amplitude,T_P50_mean_amp_roll_mean,0.004459560184100196,-0.5574512362761477,0.11043255102757181,0.012195348326457252,0.4009162483297205,0.00527007094187116,60
C3,T_N100,mean_amp_roll_mean,Mean amplitude,T_N100_mean_amp_roll_mean,0.005969152856583251,-0.5578524063274317,0.1646291016300554,0.02710274110351911,0.20875970601029473,0.004695972934571128,60
C3,T_P200,mean_amp_roll_mean,Mean amplitude,T_P200_mean_amp_roll_mean,-0.004410499644559979,-0.8211414606786901,-0.10379889627332461,0.010774210867560403,0.4299690253163059,0.00554917951046031,60
C3,T_N200,mean_amp_roll_mean,Mean amplitude,T_N200_mean_amp_roll_mean,0.007759520299351601,-0.7090153329269016,0.23873097063452453,0.05699247634010221,0.06621549995592246,0.004144476599552815,60
C3,T_P300,mean_amp_roll_mean,Mean amplitude,T_P300_mean_amp_roll_mean,-0.0014851513371038697,1.013731923502129,-0.0413116486755048,0.0017066523162883372,0.7539760366655497,0.004716428718022886,60
C3,A_P50,peak_amp_roll_mean,Peak amplitude,A_P50_peak_amp_roll_mean,0.0350873132132497,2.477992430053558,0.57774319203328,0.3337871959408034,1.3426329488226906e-06,0.006508902527838059,60
C3,A_N100,peak_amp_roll_mean,Peak amplitude,A_N100_peak_amp_roll_mean,0.011369887096523281,-9.882959398010366,0.28377879813043483,0.08053040626835409,0.027999818768439162,0.005044648330064648,60
C3,A_P200,peak_amp_roll_mean,Peak amplitude,A_P200_peak_amp_roll_mean,0.014659154794673923,9.178807080237897,0.2352405934133468,0.05533813678946354,0.07040159402375182,0.007952814620899737,60
C3,A_N200,peak_amp_roll_mean,Peak amplitude,A_N200_peak_amp_roll_mean,-0.021763292496631354,-5.927145331362956,-0.5025642633560196,0.2525708388025786,4.2792764573101106e-05,0.004915911071269476,60
C3,A_P300,peak_amp_roll_mean,Peak amplitude,A_P300_peak_amp_roll_mean,0.008538137038880095,8.342363067006243,0.14034284057463164,0.019696112900556475,0.28483226007690887,0.007909321407003359,60
C3,T_P50,peak_amp_roll_mean,Peak amplitude,T_P50_peak_amp_roll_mean,0.01052831379497377,2.4202501587309144,0.24459013893581955,0.05982433606464351,0.05963940894577371,0.005480376340621511,60
C3,T_N100,peak_amp_roll_mean,Peak amplitude,T_N100_peak_amp_roll_mean,-0.01468386247994117,-4.472917564733214,-0.33466055190779953,0.11199768500323298,0.008960167147017433,0.005429112459340819,60
C3,T_P200,peak_amp_roll_mean,Peak amplitude,T_P200_peak_amp_roll_mean,0.010027555560372815,3.3468135787383315,0.21525796807267794,0.04633599281877804,0.09858916964662308,0.005973371695670272,60
