sub_id,trial_index,P50_mean_amp,P50_peak_amp,P50_peak_lat_ms,N100_mean_amp,N100_peak_amp,N100_peak_lat_ms,P200_mean_amp,P200_peak_amp,P200_peak_lat_ms,N200_mean_amp,N200_peak_amp,N200_peak_lat_ms,P300_mean_amp,P300_peak_amp,P300_peak_lat_ms,fw0_theta_power,fw0_alpha_power,fw0_beta_power,fw1_theta_power,fw1_alpha_power,fw1_beta_power,fw2_theta_power,fw2_alpha_power,fw2_beta_power,condition,region,P50_mean_amp_roll,P50_mean_amp_roll_n,P50_peak_amp_roll,P50_peak_amp_roll_n,P50_peak_lat_ms_roll,P50_peak_lat_ms_roll_n,N100_mean_amp_roll,N100_mean_amp_roll_n,N100_peak_amp_roll,N100_peak_amp_roll_n,N100_peak_lat_ms_roll,N100_peak_lat_ms_roll_n,P200_mean_amp_roll,P200_mean_amp_roll_n,P200_peak_amp_roll,P200_peak_amp_roll_n,P200_peak_lat_ms_roll,P200_peak_lat_ms_roll_n,N200_mean_amp_roll,N200_mean_amp_roll_n,N200_peak_amp_roll,N200_peak_amp_roll_n,N200_peak_lat_ms_roll,N200_peak_lat_ms_roll_n,P300_mean_amp_roll,P300_mean_amp_roll_n,P300_peak_amp_roll,P300_peak_amp_roll_n,P300_peak_lat_ms_roll,P300_peak_lat_ms_roll_n,fw0_theta_power_roll,fw0_theta_power_roll_n,fw0_alpha_power_roll,fw0_alpha_power_roll_n,fw0_beta_power_roll,fw0_beta_power_roll_n,fw1_theta_power_roll,fw1_theta_power_roll_n,fw1_alpha_power_roll,fw1_alpha_power_roll_n,fw1_beta_power_roll,fw1_beta_power_roll_n,fw2_theta_power_roll,fw2_theta_power_roll_n,fw2_alpha_power_roll,fw2_alpha_power_roll_n,fw2_beta_power_roll,fw2_beta_power_roll_n
2,2,0.15030655446857613,0.9030267727611959,531.9010416666666,0.4250740577463518,-0.36607062411855723,547.5260416666666,0.7649309694410746,1.6716564775977911,678.3854166666666,1.0773472328890186,0.44319939482639925,725.2604166666666,1.2168469658158703,2.2640806041289214,828.125,0.2836921056989124,0.21863528278176156,0.4976726115193261,0.26097006000901835,0.24469553392855736,0.49433440606242435,0.20247720708607322,0.03173878404646319,0.7657840088674636,BLT,F,-0.27702654360464174,3.0,0.2721799356351154,3.0,543.8368055555555,3.0,-0.10171395814539208,3.0,-0.9471422046545069,3.0,555.1215277777777,3.0,-0.3909060527798453,3.0,0.3777519337342201,3.0,679.2534722222222,3.0,-0.2684667036935659,3.0,-0.9399946662847753,3.0,740.0173611111112,3.0,0.4169515166634012,3.0,1.395594760183877,3.0,861.7621527777778,3.0,0.28424847396193836,3.0,0.24985835557069414,3.0,0.46589317046736767,3.0,0.27218993444336387,3.0,0.3213877000383052,3.0,0.40642236551833094,3.0,0.2979711328288397,3.0,0.20578303886863378,3.0,0.49624582830252656,3.0
2,3,-1.5206462379777568,-0.9122828724402124,552.0833333333334,-1.362301975865307,-2.24400361653491,551.4322916666666,-1.3079813295818523,-0.5632029217189342,693.359375,-1.6225498856662968,-2.1398129820914518,731.7708333333334,0.0618748164565154,0.8663274068904272,886.71875,0.48440750496474205,0.15381640502635321,0.3617760900089048,0.41576988819841904,0.2703380307509517,0.3138920810506292,0.2333952352892331,0.42455033348554894,0.342054431225218,BLT,F,-0.7495416939102818,3.0,-0.1561402710568692,3.0,545.7899305555555,3.0,-0.42906998575009614,3.0,-1.3537367284567539,3.0,544.7048611111111,3.0,-0.3493997799855981,3.0,0.6527528326747513,3.0,679.2534722222222,3.0,-0.5569759910738504,3.0,-1.0975510377841058,3.0,730.46875,3.0,0.17890145713314978,3.0,1.0166998131616023,3.0,873.6979166666666,3.0,0.3196393445331705,3.0,0.22789435178947134,3.0,0.4524663036773582,3.0,0.3092598744923967,3.0,0.3370789451107319,3.0,0.3536611803968713,3.0,0.21377791809015514,3.0,0.26878276220759645,3.0,0.5174393197022483,3.0
2,4,-0.8782853982216646,-0.45916471349159105,553.3854166666666,-0.34998203913133313,-1.4511359447167937,535.15625,-0.5051489798160166,0.8498049421453966,666.015625,-1.125725320444273,-1.5960395260872644,734.375,-0.7420174108729363,-0.08030857153454134,906.25,0.19081842293585702,0.31123136756029923,0.4979502095038437,0.2510396752697529,0.4962032706526867,0.2527570540775605,0.20546131189515915,0.3500591690907772,0.44447951901406363,BLT,F,-0.8841198088936272,3.0,-0.381930334910058,3.0,545.5729166666666,3.0,-0.6070893490334172,3.0,-1.446338527149415,3.0,547.5260416666666,3.0,-0.5407646194258555,3.0,0.4109566355859576,3.0,684.4618055555557,3.0,-0.7858628134386937,3.0,-1.4174400014618385,3.0,727.6475694444445,3.0,-0.36783062165841,3.0,0.5281152656774067,3.0,876.736111111111,3.0,0.26353395465306934,3.0,0.21484862795738083,3.0,0.5216174173895498,3.0,0.23631091230232956,3.0,0.4265853536842999,3.0,0.3371037340133705,3.0,0.3219909865516127,3.0,0.30356894405108104,3.0,0.3744400693973063,3.0
2,5,-0.25342779048146014,0.22565658120162946,531.25,-0.10898403210361111,-0.6438760201965413,555.9895833333334,0.19083645112030245,0.9462678863314103,694.0104166666666,0.39068676579448863,-0.5164674962067994,716.796875,-0.4233492705588093,0.7983269616763341,837.2395833333334,0.11537593605860896,0.17949811128549012,0.705125952655901,0.04212317343881666,0.5132147596492613,0.44466206691192195,0.5271164124704457,0.13609732957691698,0.3367862579526373,BLT,F,-0.1093989042645865,3.0,0.450523753115654,3.0,542.751736111111,3.0,0.15052457031519337,3.0,-0.7345941364437399,3.0,549.9131944444445,3.0,0.13861351789538137,3.0,1.0940464582447127,3.0,677.0833333333334,3.0,-0.19158513191596183,3.0,-0.9485655702361838,3.0,722.65625,3.0,-0.2862050317867888,3.0,0.5793998671597086,3.0,859.375,3.0,0.1176361495214534,3.0,0.28898631683437753,3.0,0.593377533644169,3.0,0.1611146397546338,3.0,0.4332357046964341,3.0,0.4056496555489322,3.0,0.27060074423965585,3.0,0.2648716400753967,3.0,0.46452761568494755,3.0
2,6,0.8035164759093653,1.5850793916369235,543.6197916666666,0.9105397821805244,-0.10877044441788482,558.59375,0.7301530823818584,1.4860665462573313,671.2239583333334,0.16028315890189881,-0.7331896884144874,716.796875,0.30675158607137926,1.020181211337333,834.6354166666666,0.0467140895698942,0.3762294716573433,0.5770564387727625,0.19018107055533184,0.2902890837873542,0.519529845657314,0.07922450835336269,0.3084584215584958,0.6123170700881415,BLT,F,0.16026592130481077,3.0,0.7359206572514397,3.0,537.5434027777777,3.0,0.10742266732175658,3.0,-0.6285278440356925,3.0,558.8107638888889,3.0,0.4242744972745914,3.0,1.2819667420862293,3.0,683.1597222222223,3.0,0.1507051802142095,3.0,-0.6843486824979808,3.0,732.421875,3.0,-0.08744600554001188,3.0,0.7669923219598336,3.0,844.6180555555555,3.0,0.07369551414278795,3.0,0.43267667880096083,3.0,0.4936278070562512,3.0,0.17341082654505832,3.0,0.3161265391085835,3.0,0.5104626343463582,3.0,0.3267427546442385,3.0,0.2784877147982227,3.0,0.3947695305575388,3.0
2,7,-0.06929092151347283,0.39702599891576645,537.7604166666666,-0.47928774811164354,-1.1329370674926513,561.8489583333334,0.35183395832161346,1.4135657936699462,684.2447916666666,-0.09885438405375896,-0.8033888628726557,763.671875,-0.1457403321326056,0.48246879286583355,861.9791666666666,0.05899651679986071,0.7423024534600491,0.19870102974009018,0.28792823564102643,0.144875773889135,0.5671959904698385,0.3738873431089072,0.39090739325925533,0.2352052636318375,BLT,F,0.38098071183464555,3.0,0.9502402765718662,3.0,540.5815972222222,3.0,0.29901208048981526,3.0,-0.5726114726810437,3.0,564.453125,3.0,0.3990900443228211,3.0,1.3945389275245417,3.0,674.2621527777778,3.0,0.052285492123455325,3.0,-0.7816501902734704,3.0,742.8385416666666,3.0,0.16621105079019066,3.0,0.9386802397452572,3.0,849.392361111111,3.0,0.1098171388863169,3.0,0.5258757155396588,3.0,0.3643071455740243,3.0,0.2246693790687578,3.0,0.26966519543848494,3.0,0.5056654254927573,3.0,0.17228871604179663,3.0,0.45184014915679055,3.0,0.3758711348014128,3.0
2,8,0.4087165811080442,0.868615439162908,540.3645833333334,0.465784207400565,-0.4761269061325952,572.9166666666666,0.11528309226499144,1.2839844426463476,667.3177083333334,0.09542770152222613,-0.8083720195332681,748.046875,0.3376218984317983,1.3133907150326047,851.5625,0.2237408102891958,0.45909522150158394,0.3171639682092204,0.19589883100991512,0.37383072863896566,0.4302704403511193,0.06375429666311998,0.6561546326526205,0.2800910706842594,BLT,F,0.6805076138029397,3.0,1.086561875742066,3.0,545.5729166666666,3.0,0.652923753401388,3.0,-0.053589142888524156,3.0,558.3767361111112,3.0,0.3336505760517949,3.0,1.3596934441829565,3.0,675.3472222222222,3.0,-0.0895673119207897,3.0,-0.8572643567621117,3.0,750.8680555555555,3.0,0.4220439861447958,3.0,1.6231941837978805,3.0,864.1493055555557,3.0,0.11682076009581215,3.0,0.5836711598014188,3.0,0.2995080801027691,3.0,0.2562826419698619,3.0,0.27258656812511034,3.0,0.4711307899050278,3.0,0.2332403190653729,3.0,0.5229100249430841,3.0,0.24384965599154296,3.0
2,9,1.7020971818142476,1.994044189147524,558.59375,1.9722748009152429,1.448296544959674,540.3645833333334,0.5338346775687798,1.3815300962325752,674.4791666666666,-0.2652752532308363,-0.9600321878804113,740.8854166666666,1.074250392135195,3.073723043495203,878.90625,0.06772495319837991,0.5496158044426235,0.3826592423589967,0.2850208592586441,0.2990532018472303,0.41592593889412566,0.26207931742409146,0.5216680489173767,0.21625263365853184,BLT,F,0.8276566659930967,3.0,1.3201696108064507,3.0,551.4322916666666,3.0,1.0798498245600172,3.0,0.235538842728562,3.0,549.4791666666666,3.0,0.27434591846182743,3.0,1.2374479107605534,3.0,677.5173611111112,3.0,-0.37997740205718905,3.0,-1.2009201901928115,3.0,743.0555555555555,3.0,0.09220514111923069,3.0,1.6881137870415566,3.0,881.5104166666666,3.0,0.13719529489910928,3.0,0.5633482596406073,3.0,0.2994564454602835,3.0,0.2328237950461194,3.0,0.2854537986080658,3.0,0.4817224063458149,3.0,0.14572844781089397,3.0,0.621134348085678,3.0,0.23313720410342806,3.0
2,10,0.3721562350569985,1.0978492041089198,555.3385416666666,0.8014904653642443,-0.2655531106413928,535.15625,0.17391998555171115,1.046829193402737,690.7552083333334,-0.970084654462957,-1.8343563631647548,740.234375,-1.1352568672093013,0.677227602596861,914.0625,0.12012012120975217,0.6813337529776146,0.1985461258126334,0.21755169486979886,0.18347746533800144,0.5989708397921998,0.11135172934547051,0.6855803626870367,0.20306790796749274,BLT,F,0.8853393759178217,3.0,1.3552079292252526,3.0,554.9045138888888,3.0,0.9842951826510763,3.0,0.16045650782431764,3.0,549.6961805555557,3.0,0.4545038229396043,3.0,1.3395246081477872,3.0,692.7083333333334,3.0,-0.09175110152201404,3.0,-1.1013896766701352,3.0,746.9618055555555,3.0,0.12982589970153463,3.0,1.8045295242881207,3.0,902.34375,3.0,0.12755118332484924,3.0,0.5779538310098714,3.0,0.2944949856652793,3.0,0.22278195541942694,3.0,0.3689839097632439,3.0,0.40823413481732923,3.0,0.23531901188687057,3.0,0.5139657115157549,3.0,0.2507152765973745,3.0
2,11,0.5817647108822189,0.9737303944193139,550.78125,0.17912028167374153,-0.7013739108453283,573.5677083333334,0.655756805698322,1.590214534808049,712.890625,0.9601066031277513,-0.5097804789652394,759.765625,0.4504841741787102,1.6626379267722973,914.0625,0.19480847556641567,0.5029119356093764,0.30227958882420797,0.16577331212983784,0.6244210621045,0.20980562576566228,0.33252598889104984,0.33464872294285136,0.33282528816609885,BLT,F,-0.6189027036404079,3.0,0.11591781946284414,3.0,554.9045138888888,3.0,-0.41591497712767417,3.0,-1.4216794567013882,3.0,549.9131944444445,3.0,-0.20090170268732918,3.0,0.601918287565911,3.0,697.0486111111112,3.0,-0.3776938184874204,3.0,-1.5240751662026202,3.0,739.3663194444445,3.0,-0.7520735023573843,3.0,0.6144589499425785,3.0,892.3611111111112,3.0,0.1649881261635374,3.0,0.5246698692798407,3.0,0.3103420045566219,3.0,0.27666549007678815,3.0,0.40067056216848557,3.0,0.32266394775472645,3.0,0.16739984663232602,3.0,0.35743845967436716,3.0,0.4751616936933069,3.0
